peerPosAR,peerPosNI,MyPos,Distance,Frame,Time
0.13413258+-0.1755201+-0.59925365,0.12956552+-0.13625084+-0.5823027,0.18908294+0.0025184453+0.09463554,0.61190516,88,1709.248992083
0.13412642+-0.17550716+-0.5992895,0.12946543+-0.1359219+-0.5825104,0.18905373+0.002503719+0.094669886,0.6120085,89,1709.282335875
0.13413233+-0.17547435+-0.59933484,0.12957193+-0.13820119+-0.5833002,0.18907717+0.0024827018+0.094654165,0.6132924,90,1709.315680208
0.13409232+-0.17547446+-0.599339,0.12966551+-0.13928433+-0.5836173,0.1890747+0.002472545+0.09463468,0.61385864,91,1709.349022833
0.13407674+-0.1754614+-0.599337,0.12976657+-0.14048128+-0.58406556,0.18906291+0.002461371+0.09462542,0.61457866,92,1709.382366083
0.13407135+-0.1754708+-0.59933835,0.12978794+-0.14079882+-0.5843466,0.189134+0.0024644425+0.0945036,0.6149229,93,1709.415709125
0.13403822+-0.17554721+-0.5992479,0.13006917+-0.14154781+-0.58359516,0.18914543+0.0024488056+0.09447151,0.61444044,94,1709.449053458
0.13402276+-0.17557354+-0.5991981,0.13062829+-0.14296727+-0.5818912,0.18913627+0.0024365054+0.09446048,0.6132705,95,1709.48240475
0.13399062+-0.17556961+-0.599209,0.13096565+-0.14391135+-0.58104444,0.18913437+0.0024493008+0.094461985,0.61276025,96,1709.515740708
0.1340371+-0.17561223+-0.59921587,0.13105746+-0.14421919+-0.58090645,0.18912059+0.0024477243+0.09445536,0.6127214,97,1709.549089583
0.13383834+-0.17537987+-0.599042,0.13118124+-0.14471005+-0.58085245,0.18910632+0.002437301+0.09443862,0.61281246,98,1709.582427375
0.13379326+-0.17534001+-0.59898865,0.13131167+-0.14518449+-0.58082914,0.18912095+0.0024509558+0.09443588,0.6129305,99,1709.615768583
0.13377127+-0.17532098+-0.5989705,0.13139124+-0.14542592+-0.580798,0.18911149+0.0024548674+0.09441896,0.61297524,100,1709.649112666
0.13380706+-0.17530861+-0.59905726,0.13154306+-0.14591299+-0.5807125,0.1890947+0.0024609936+0.09440111,0.61304253,101,1709.682456333
0.13384278+-0.1752748+-0.59904194,0.13166445+-0.14641392+-0.5806177,0.18910997+0.002480723+0.09443668,0.61309826,102,1709.715797916
0.13388914+-0.1752768+-0.5990712,0.13269016+-0.14570475+-0.5780773,0.18911806+0.0024916856+0.09445226,0.6107454,103,1709.749142291
0.1339021+-0.17527927+-0.5991311,0.13458198+-0.14381929+-0.5732735,0.18910515+0.002506665+0.09446412,0.6061673,104,1709.782486416
0.13390781+-0.17525287+-0.5991545,0.13572781+-0.14301674+-0.57061636,0.18913719+0.002506568+0.09449122,0.60372084,105,1709.815829208
0.13396259+-0.17523822+-0.599182,0.13605477+-0.14297703+-0.5699834,0.18914375+0.0025096561+0.09450498,0.6031869,106,1709.849172041
0.1339508+-0.17526717+-0.599196,0.13652733+-0.14317474+-0.56925434,0.18913354+0.0025136878+0.09451657,0.60265183,107,1709.882516333
0.13394421+-0.17524314+-0.59921175,0.1373511+-0.14527547+-0.56829685,0.1891296+0.0025102124+0.0945263,0.60243803,108,1709.915859708
0.13392305+-0.1752834+-0.5992099,0.13766831+-0.1461643+-0.56791496,0.18912676+0.002514095+0.09452068,0.6023653,109,1709.949202958
0.13394594+-0.17531049+-0.5991915,0.1382964+-0.1472813+-0.5670612,0.18912795+0.0025187451+0.09451021,0.6019768,110,1709.982553375
0.13392241+-0.17530884+-0.59918565,0.1389041+-0.14782004+-0.5661561,0.18912542+0.002522924+0.09449915,0.60139656,111,1710.015888791
