peerPosAR,peerPosNI,MyPos,Time
0.32559663+-0.14883757+-0.4864865,0.2730632+0.028765557+-0.68487996,0.0023746835+0.17421643+0.08120004,81
0.32562748+-0.14886937+-0.48633605,0.2727921+0.02750732+-0.68580323,0.00252599+0.1741275+0.081172794,82
0.32553828+-0.14902094+-0.48634416,0.27238244+0.026661819+-0.68638617,0.0024611456+0.17410812+0.08114362,83
0.3255228+-0.14895757+-0.48636705,0.27187413+0.026125627+-0.6866853,0.002295944+0.17413628+0.08102412,84
0.3255556+-0.1488077+-0.4865094,0.2713567+0.025833819+-0.68676233,0.0021474017+0.17416582+0.08089711,85
0.32558963+-0.14868943+-0.48668972,0.2707385+0.025735542+-0.6867425,0.0020765655+0.1741694+0.080824316,86
0.32559565+-0.14863144+-0.486777,0.27119324+0.026036141+-0.6860336,0.002123651+0.17417297+0.080711305,87
0.32559752+-0.14868996+-0.48688567,0.27183902+0.026993165+-0.68374574,0.00254446+0.17416744+0.08053966,88
0.32558525+-0.14912632+-0.48703334,0.27301732+0.02828984+-0.6805747,0.0028905543+0.1741902+0.08030612,89
0.32560444+-0.1494908+-0.48725405,0.27416107+0.029346772+-0.6776849,0.0031466144+0.17419171+0.08021168,90
0.32560474+-0.14975789+-0.48733577,0.27494586+0.02997406+-0.67555135,0.003339738+0.17416766+0.08024845,91
0.3255826+-0.14995652+-0.48728973,0.27521524+0.030226855+-0.67421293,0.0034384686+0.17417046+0.08024024,92
0.32558608+-0.15006495+-0.4872897,0.27521524+0.030226855+-0.67421293,0.0034987314+0.1741915+0.08008553,93
0.32558608+-0.15006495+-0.4872897,0.2750459+0.030250039+-0.6734415,0.0034252799+0.17419653+0.07980857,94
0.32560393+-0.15007877+-0.4877059,0.27460814+0.030166974+-0.67295915,0.0033253564+0.17420983+0.079537265,95
0.3256131+-0.14999732+-0.48797435,0.2740198+0.030067988+-0.67257833,0.003181289+0.17422064+0.079299785,96
0.32563332+-0.14985864+-0.48821718,0.2734149+0.030024003+-0.67218834,0.0030411659+0.1742589+0.07909191,97
0.32569137+-0.14969838+-0.48842856,0.27303305+0.030051006+-0.67171067,0.0030703628+0.17428346+0.078984775,98
0.32571983+-0.14972463+-0.4885238,0.27303305+0.030051006+-0.67171067,0.0031994348+0.17428051+0.07908385,99
0.3257191+-0.14984512+-0.48840013,0.273081+0.030107858+-0.6711337,0.0032379953+0.17434649+0.07914222,100
0.32578593+-0.14988597+-0.48832363,0.27348566+0.0301193+-0.6705645,0.0033786101+0.17433108+0.07955884,101
0.32577872+-0.15001413+-0.48787716,0.2739202+0.03003385+-0.6701464,0.0034277611+0.17433338+0.08002,102
0.32579395+-0.15004835+-0.48739415,0.274076+0.029891813+-0.6699153,0.0034595965+0.17434895+0.08023181,103
0.325815+-0.15007448+-0.48715883,0.27437815+0.029711477+-0.6713014,0.003416541+0.17437714+0.080183215,104
0.32584065+-0.15004359+-0.4871873,0.27437815+0.029711477+-0.6713014,0.00330693+0.17440228+0.07991652,105
0.3258559+-0.14995483+-0.4874323,0.27554286+0.029460596+-0.67596453,0.0033606337+0.17469035+0.07910584,106
