peerPosAR,peerPosNI,MyPos,Time
0.3834833+0.22797403+-0.32428098,0.35070166+0.057139847+-0.72663784,-0.50217986+0.029547796+0.34182572,0.8088629,89
0.3834361+0.22797504+-0.32423976,0.3485064+0.056622338+-0.72499144,-0.5020623+0.029501816+0.34193924,0.80639654,90
0.38355142+0.22787036+-0.32425532,0.34717476+0.0563635+-0.7238807,-0.50196147+0.029476356+0.3420182,0.80480456,91
0.38363263+0.2277763+-0.3242738,0.34650666+0.05626616+-0.72312284,-0.5018961+0.029452475+0.34209523,0.80382794,92
0.38371265+0.22771943+-0.324287,0.34625667+0.056219976+-0.72254246,-0.5018839+0.029429752+0.34215862,0.8031948,93
0.38377506+0.22771132+-0.32430667,0.3462038+0.05615168+-0.72202563,-0.5019183+0.029411294+0.34218824,0.80270237,94
0.38382587+0.22775227+-0.32427529,0.34623545+0.056051634+-0.72207665,-0.5019771+0.02939619+0.3421824,0.80275494,95
0.38383955+0.22781458+-0.32423878,0.34631076+0.05594965+-0.72334456,-0.50203323+0.029381907+0.34215376,0.8039209,96
0.38383022+0.22787149+-0.3242037,0.3463292+0.055871997+-0.72527164,-0.50202703+0.029335417+0.34202355,0.80565786,97
0.38375312+0.22786584+-0.32408687,0.34620115+0.05583817+-0.7269217,-0.5020119+0.02932027+0.3419752,0.8070863,98
0.38372615+0.2278468+-0.3240525,0.34593552+0.055852473+-0.7279774,-0.5019703+0.029311582+0.34197873,0.8079245,99
0.3837395+0.2278037+-0.32405272,0.34559408+0.055887524+-0.7284582,-0.50192595+0.029301252+0.342017,0.8082141,100
0.3837831+0.22775525+-0.32407558,0.34559408+0.055887524+-0.7284582,-0.50190294+0.029289655+0.34206736,0.8082141,101
0.38383198+0.22773564+-0.3240944,0.34524655+0.05589866+-0.72851896,-0.5019167+0.02928178+0.3421027,0.80812114,102
0.38383198+0.22773564+-0.3240944,0.34493944+0.055851083+-0.7283353,-0.50189275+0.029288124+0.3420269,0.8078211,103
0.38383198+0.22773564+-0.3240944,0.34467378+0.055740923+-0.7280535,-0.5019536+0.029288867+0.34197608,0.807446,104
